facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
F3FA,81076691,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,2/28/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076696,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/2/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076697,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/2/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076704,F3FA-U-HPWH-WCP,Vendor Service WHC Panel - F3,UM01,NIN,WCOM PLAN PASS,L,INST,SFC,10/31/2017,REL  GMPS NMAT PRC  SETC
F3FA,81076845,F3FA-U-CASA-COM,M117 2W Start Emergency Air Compressor,UM01,MEC,WCOM,K,MECH,SFF,3/9/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076854,F3FA-P-PGME-EXPSSV-30SSIV0182,M416 6M SSIV Pipeline Close & Leak Test,UM01,PDN,WCOM SAFC DFRD,L,OPS,SFC,8/31/2017,TECO CNF  NMAT PRC  SETC
F3FA,81076925,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,3/7/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076929,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/8/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076930,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/8/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81076963,F3FA-H-SA,F3FA 2W Safety checklist.,UM01,PDN,WCOM SAFC,I,OPS,SFC,3/11/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077440,F3FA-U-CASA-COM,M117 2W Start Emergency Air Compressor,UM01,MEC,WCOM,K,MECH,SFF,3/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077454,F3FA-U-FUJF,Mechanical Check Heli Fuel System - F3,UM01,MEC,WCOM SAFC,N,MECH,SFC,7/1/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077455,F3FA-U-FUJF,Heli-fuel Main Earth-bonding & Panel-F3,UM01,ELE,WCOM SAFC,N,ELEC,SFC,7/1/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077593,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,3/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077601,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077602,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/22/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077644,F3FA-H-SA,F3FA 2W Safety checklist.,UM01,PDN,WCOM SAFC,I,OPS,SFC,3/30/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81077987,F3FA-H-FFFW-FPDPMP,Weekly Testrun DFWP - F3,UM01,MEC,WCOM SAFC,I,MECH,SFC,3/27/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81078000,F3FA-H-SARE-MOBBOA-Z8011,Weekly Maintenance FRC - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/24/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81078001,F3FA-H-SAEE-BOAFLB-Z8010,Weekly Maintenance FF-LB - F3,UM01,MEC,WCOM SAFC,I,MECH,SFF,3/24/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81078022,F3FA-H-FFFE-FOA,O119 - 6M Inspection Foam Package,UM01,MEC,WCOM SAFC,N,OPS,SFC,7/15/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81078023,F3FA-P-PGME-EXPHPO-30BDV0180,O105 - 3M BDV Export Line To Vent,UM01,PDN,WCOM SAFC,I,OPS,SFC,7/18/2017,CLSD CNF  NMAT PRC  SETC
F3FA,81078054,F3FA-U-CASA-COM,M117 2W Start Emergency Air Compressor,UM01,MEC,WCOM,K,MECH,SFF,3/31/2017,CLSD CNF  NMAT PRC  SETC
