facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
GROV,81002281,GROV-P-WHXM-W01SSV-13XV101,M800 Sub Service Safety Valve Well 101,UM01,MEC,WCOM,U,MECH,SFC,7/31/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002286,GROV-P-WHXM-W02SSV-13XV201,M800  Sub Service Safety Valve Well 201,UM01,MEC,WCOM,U,MECH,SFC,7/27/2012,CLSD NMAT PRC  SETC
GROV,81002309,GROV-P-WHXM-W03SSV-13XV301,M800 Sub Service Safety Valve Well 301,UM01,MEC,WCOM,U,MECH,SFC,8/1/2012,CLSD NMAT PRC  SETC
GROV,81002326,GROV-P-WHXM-W04SSV-13XV401,M800  Sub Service Safety Valve Well 401,UM01,MEC,WCOM,U,MECH,SFC,8/1/2012,CLSD NMAT PRC  SETC
GROV,81002648,GROV-C-FGCS,V007 12M F&G Control System,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002649,GROV-C-FGCS-SIG,V007 12M Signal Devices,UM01,ELE,WCOM,U,ELEC,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002650,GROV-C-FGCS-SIGGAB,V007 12M General Alarm Beacon,UM01,ELE,WCOM,U,ELEC,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002651,GROV-C-FGCS-SIGVIS,V007 12M Visual Signals,UM01,ELE,WCOM,U,ELEC,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002652,GROV-C-FGDT,V007 12M F&G Detection,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002653,GROV-C-FGDT-ABH,V007 12M Hydrocarbon Detection,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002654,GROV-C-FGDT-ABH001,V007 12M Gas Detect. Zone 1 W/head Area,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002655,GROV-C-FGDT-ABH002,"V007 12M Gas Detectors, Zone 2, Shelter",UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002656,GROV-C-FGDT-ABH003,V007 12M Gas Detect. Zone 3 Control Room,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002667,GROV-C-FGDT-ABH004,V007 12M Gas Detect. Zone 4 Generat/Room,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002668,GROV-C-FGDT-ABHPOR,V007 12M Portable Gas Detectors,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002669,GROV-C-FGDT-BHE,V007 12M Heat Detection,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002670,GROV-C-FGDT-BHE004,V007 12MHeat Detectors Zone 4 Gen/Room,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002671,GROV-C-FGDT-BMA,V007 12M Manual Alarm,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002672,GROV-C-FGDT-BMAEPB,V007 12M Manual ESDV Station,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002673,GROV-C-FGDT-BSM,V007 12M Smoke Detection,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002674,GROV-C-FGDT-BSM002,V007 12M Smoke Detectors Zone 2 Shelter,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002675,GROV-C-FGDT-BSM003,V007 12M Smoke Detect. Zone 3 Cont/Room,UM01,INS,WCOM,U,INST,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002676,GROV-H-FF,V007 12M Fire Fighting Systems,UM01,MEC,WCOM,U,MECH,SFC,10/25/2012,CLSD NMAT PRC  SETC
GROV,81002677,GROV-H-FFFE,V007 12M Fire Extinguishers,UM01,MEC,WCOM,U,MECH,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002678,GROV-H-FFFE-CO2,V007 12M CO2 Extinguishers,UM01,MEC,WCOM,U,MECH,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002679,GROV-H-FFFE-FOA,V007 12M Foam Extinguishers,UM01,MEC,WCOM,U,MECH,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002708,GROV-H-FFFE-POW,V007 12M Powder Extinguishers,UM01,MEC,WCOM,U,MECH,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002709,GROV-H-SAEE-PERJAC,"V007 12M Life Jackets, Box",UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002710,GROV-H-SAEE-RAF,V007 12M Rafts,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002711,GROV-H-SAEE-RAFINF,V007 12M Inflatable Raft,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002712,GROV-H-SARE,V007 12M Rescue/Salvage/Medical Systems,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002713,GROV-H-SARE-FRE,V007 12M Personal Fire Fighting Equipt.,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002714,GROV-H-SARE-MOB,V007 12M Man Overboard Equipment,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81002715,GROV-H-SARE-PER,V007 12M Personnel Safety Equipment,UM01,PDN,WCOM,U,OPS,SFC,11/8/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003611,GROV-F-HVAC-CLO,"I350 6M F&G Action, Closure Devices",UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003612,GROV-F-HVAC-CLO000,"I350 6M F&G Action, Closure Devices Zone",UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003641,GROV-P-WHXM-W01MAV-13XV102,M800 6M XV Upper Master Valve Well 101,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003653,GROV-P-WHXM-W01WIV-13XV103,M800 6M XV Wing Valve Well 101,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003655,GROV-P-WHXM-W02MAV-13XV202,M800 6M XV Upper Master Valve Well 201,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD NMAT PRC  SETC
GROV,81003656,GROV-P-WHXM-W02SSV-13XV201,M800  Sub Service Safety Valve Well 201,UM01,MEC,WCOM,U,MECH,SFC,1/23/2013,CLSD NMAT PRC  SETC
GROV,81003658,GROV-P-WHXM-W02WIV-13XV203,M800 6M XV Wing Valve Well 201,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD NMAT PRC  SETC
GROV,81003669,GROV-P-WHXM-W03MAV-13XV302,M800 6M XV Upper Master Valve Well 301,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003671,GROV-P-WHXM-W03WIV-13XV303,M800 6M XV Wing Valve Well 301,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003675,GROV-P-WHXM-W04MAV-13XV402,M800 6M XV Upper Master Valve Well 401,UM01,MEC,WCOM,U,MECH,SFC,8/12/2012,CLSD NMAT PRC  SETC
GROV,81003678,GROV-S-MOHD-CONNET,Q023 Deck Construction Perimeter Netting,UM01,MEC,WCOM,U,MECH,SFC,8/10/2012,CLSD CNF  NMAT PRC  SETC
GROV,81003876,GROV-C-NAAD,V301 12M Navigation Aids,UM01,ELE,WCOM,U,ELEC,SFC,11/1/2012,CLSD NMAT PRC  SETC
GROV,81003891,GROV-P-WHXM-W01SSV-13XV101,M800 Sub Service Safety Valve Well 101,UM01,MEC,WCOM,U,MECH,SFC,1/27/2013,CLSD CNF  NMAT PRC  SETC
GROV,81003894,GROV-P-WHXM-W03SSV-13XV301,M800 Sub Service Safety Valve Well 301,UM01,MEC,WCOM,U,MECH,SFC,1/28/2013,CLSD NMAT PRC  SETC
